Waveform,p_for_S,p_for_Se,OSR,DAC_clock_MHz,R,Required_bits,THD_percent,Weighted_error_percent
S,3,4,16,8,4,3,5.66478937820402,1.19500017415266
S,3,4,16,8,5,3,6.00865916916908,1.17162175367039
S,3,4,16,8,6,3,7.33964521509042,1.76709850054483
S,3,4,16,8,7,3,3.39405314769393,1.33849862256331
S,3,4,16,8,8,4,3.40917779391691,0.650560289278003
S,3,4,16,8,9,4,2.42512348184828,0.538398433399329
S,3,4,16,8,10,4,4.41332955687586,1.08979131492472
S,3,4,16,8,11,4,5.32211388827918,1.49554716817609
S,3,4,16,8,12,4,3.92435462171586,0.572659222702636
S,3,4,16,8,13,4,4.56532034568224,0.684746405958645
S,3,4,16,8,14,4,4.14880853674868,0.575191125125459
S,3,4,16,8,15,4,4.88709895666915,0.998687735338014
S,3,4,16,8,16,5,5.48366281348597,1.32136952016111
S,3,4,16,8,17,5,4.31219432164168,0.552114166520864
S,3,4,16,8,18,5,4.85098204801047,0.800118077368226
S,3,4,16,8,19,5,5.04344387892531,0.834912180326305
S,3,4,16,8,20,5,4.41332955687586,1.08979131492472
S,3,4,16,8,21,5,3.8634481634527,0.587722890505726
S,3,4,16,8,22,5,3.80933024293728,0.521554203969333
S,3,4,16,8,23,5,4.38608902273416,0.850210553225638
S,3,4,16,8,24,5,4.58045588472634,0.810148192895991
S,3,4,16,8,25,5,4.71648731483857,1.05886265127616
S,3,4,16,8,26,5,4.56532034568224,0.684746405958645
S,3,4,16,8,27,5,4.31664892712764,0.540823325060489
S,3,4,16,8,28,5,4.6645767639573,0.896786220660704
S,3,4,16,8,29,5,4.63333327581158,0.853920787174797
S,3,4,16,8,30,5,4.39741422339722,0.514801010053454
S,3,4,16,8,31,5,4.8506482852098,0.760640342326661
S,3,4,16,8,32,6,4.82256684031833,0.734797033874062
S,3,4,16,8,33,6,4.40883448545003,0.970094694774036
S,3,4,16,8,34,6,4.35391971156658,0.885244777962954
S,3,4,16,8,35,6,3.95251515223591,0.541763759462978
S,3,4,16,8,36,6,4.5867996779536,0.782635733841211
S,3,4,16,8,37,6,4.56562034777885,0.7656535192707
S,3,4,16,8,38,6,4.57881663959878,0.923961652788138
S,3,4,16,8,39,6,4.5579305805579,0.886992703412257
S,3,4,16,8,40,6,4.33924011063692,0.569849269529169
S,3,4,16,8,41,6,4.58704015212437,0.822049693218866
S,3,4,16,8,42,6,4.76539127864851,0.776111138630941
S,3,4,16,8,43,6,4.7391378544852,0.931647628814354
S,3,4,16,8,44,6,4.36122977438292,0.519745075164973
S,3,4,16,8,45,6,4.74356408451762,0.711415856277002
S,3,4,16,8,46,6,4.38608902273416,0.850210553225638
S,3,4,16,8,47,6,4.57567444468136,0.803739894417616
S,3,4,16,8,48,6,4.56616995870655,0.991578784827837
S,3,4,16,8,49,6,4.00352924702583,0.537243311052561
S,3,4,16,8,50,6,4.56670226993025,0.751508892914906
S,3,4,16,8,51,6,4.53734064286085,0.850260717551954
S,3,4,16,8,52,6,4.51653593430767,0.842858798114116
S,3,4,16,8,53,6,4.66387470914559,0.940407795901605
S,3,4,16,8,54,6,4.31664892712764,0.540823325060489
S,3,4,16,8,55,6,4.71855198135085,0.76268670231408
S,3,4,16,8,56,6,4.6645767639573,0.896786220660704
S,3,4,16,8,57,6,4.64439493816732,0.85021073460395
S,3,4,16,8,58,6,4.71362512717036,0.730847603702258
S,3,4,16,8,59,6,4.70140562981387,0.714394040658151
S,3,4,16,8,60,6,4.57123941241942,0.780583314515815
S,3,4,16,8,61,6,4.50730202467578,0.910508750667548
S,3,4,16,8,62,6,4.48762864832895,0.863450875704544
S,3,4,16,8,63,6,4.5521045788412,0.70171789230076
S,3,4,16,8,64,7,4.5637053012745,0.740754994971919
S,3,4,16,8,65,7,4.70064688367509,0.785748799235393
S,3,4,16,8,66,7,4.61437493557833,0.910265067792081
S,3,4,16,8,67,7,4.33325079403183,0.566071518514839
S,3,4,16,8,68,7,4.69095173858925,0.754576404519557
S,3,4,16,8,69,7,4.68406097724131,0.749863503230189
S,3,4,16,8,70,7,4.60189101600877,0.830980070096944
S,3,4,16,8,71,7,4.70928118299381,0.9169177621121
S,3,4,16,8,72,7,4.67333234072027,0.702650282951292
S,3,4,16,8,73,7,4.57146651934604,0.769360353511334
S,3,4,16,8,74,7,4.56562034777885,0.7656535192707
S,3,4,16,8,75,7,4.47341293436881,0.839226253242878
S,3,4,16,8,76,7,4.57881663959878,0.923961652788138
S,3,4,16,8,77,7,4.56521716664259,0.738019104312548
S,3,4,16,8,78,7,4.67830007813327,0.77424789659916
S,3,4,16,8,79,7,4.67112892278514,0.77035541509837
S,3,4,16,8,80,7,4.56705970242729,0.845009889348152
S,3,4,16,8,81,7,4.67321978721723,0.749598484512516
S,3,4,16,8,82,7,4.66588581382584,0.744252560746968
S,3,4,16,8,83,7,4.7737146873853,0.781694914754583
S,3,4,16,8,84,7,4.76539127864851,0.776111138630941
S,3,4,16,8,85,7,4.65072332721464,0.852901220549436
S,3,4,16,8,86,7,4.57200786131832,0.760158493592894
S,3,4,16,8,87,7,4.56510511277653,0.754869708656658
S,3,4,16,8,88,7,4.67095865149154,0.791797061582749
S,3,4,16,8,89,7,4.6638069999523,0.78837602577908
S,3,4,16,8,90,7,4.56647376519319,0.73440297727754
S,3,4,16,8,91,7,4.66313882011985,0.765566454545383
S,3,4,16,8,92,7,4.65654251842772,0.762302137834252
S,3,4,16,8,93,7,4.5466804450947,0.834661107830723
S,3,4,16,8,94,7,4.74852956234583,0.791837786557012
S,3,4,16,8,95,7,4.65330079444053,0.740570948044676
S,3,4,16,8,96,7,4.74608959415716,0.773130152292009
S,3,4,16,8,97,7,4.73865299944022,0.767974619195822
S,3,4,16,8,98,7,4.61936515585156,0.839231880003934
S,3,4,16,8,99,7,4.65930089928693,0.802793803200022
S,3,4,16,8,100,7,4.56670226993025,0.751508892914906
S,3,4,16,8,101,7,4.65742494651007,0.781529188569732
S,3,4,16,8,102,7,4.65005881909385,0.776072408031485
S,3,4,16,8,103,7,4.52580789564603,0.846154036865146
S,3,4,16,8,104,7,4.56519582721806,0.729356666944341
S,3,4,16,8,105,7,4.64593137479088,0.758189028154859
S,3,4,16,8,106,7,4.73278834953923,0.785170186259014
S,3,4,16,8,107,7,4.72521610031387,0.780345949958921
S,3,4,16,8,108,7,4.59280369909198,0.851388080176019
S,3,4,16,8,109,7,4.64066909968068,0.736447973668405
S,3,4,16,8,110,7,4.71855198135085,0.76268670231408
S,3,4,16,8,111,7,4.59591677063009,0.828211328647948
S,3,4,16,8,112,7,4.64678691558359,0.789691272559196
S,3,4,16,8,113,7,4.50820522188601,0.853882962427377
S,3,4,16,8,114,7,4.56407448187544,0.743604274581438
S,3,4,16,8,115,7,4.64148158922284,0.772596937615654
S,3,4,16,8,116,7,4.51352094158258,0.834405666242394
S,3,4,16,8,117,7,4.71552877024602,0.792628694231514
S,3,4,16,8,118,7,4.63801520429981,0.752753799374035
S,3,4,16,8,119,7,4.63438874555509,0.750362245685978
S,3,4,16,8,120,7,4.70842957703363,0.776087286681797
S,3,4,16,8,121,7,4.57377479728031,0.839967662667429
S,3,4,16,8,122,7,4.56486182764834,0.833888657445087
S,3,4,16,8,123,7,4.70294312252478,0.756563988037637
S,3,4,16,8,124,7,4.69900062139919,0.755309354410335
S,3,4,16,8,125,7,4.63806474242694,0.782466462892162
S,3,4,16,8,126,7,4.49934933236502,0.845399821766476
S,3,4,16,8,127,7,4.56555306071277,0.744217336669677
S,3,4,16,8,128,8,4.63405957976001,0.76537236020723
Se,3,4,16,8,4,3,2.28076183678288,0.959929306697457
Se,3,4,16,8,5,3,6.97920155777594,2.55380390993035
Se,3,4,16,8,6,3,2.07690060296569,0.806883057882207
Se,3,4,16,8,7,3,2.62802256223672,0.462589012657867
Se,3,4,16,8,8,4,2.0769009303816,0.806883184390222
Se,3,4,16,8,9,4,2.22553499605303,0.556255285260212
Se,3,4,16,8,10,4,1.11216713312288,0.453633849282176
Se,3,4,16,8,11,4,1.87397691060261,0.485003806497838
Se,3,4,16,8,12,4,2.07690060296569,0.806883057882207
Se,3,4,16,8,13,4,1.62911111428221,0.479021621156747
Se,3,4,16,8,14,4,1.56189968830638,0.632421865928005
Se,3,4,16,8,15,4,1.38519346318644,0.305096936254747
Se,3,4,16,8,16,5,0.903391658097461,0.370082248997818
Se,3,4,16,8,17,5,2.00693457997776,0.725758669732052
Se,3,4,16,8,18,5,1.26990847519889,0.454700012603602
Se,3,4,16,8,19,5,1.11022022871911,0.277602150198156
Se,3,4,16,8,20,5,0.481362791687878,0.199829016360663
Se,3,4,16,8,21,5,1.4565720718533,0.540568581054741
Se,3,4,16,8,22,5,0.268106221592521,0.0888777917285097
Se,3,4,16,8,23,5,1.08968806044398,0.362400150611473
Se,3,4,16,8,24,5,0.494383992645883,0.164880323181311
Se,3,4,16,8,25,5,1.11278964403304,0.361296688276531
Se,3,4,16,8,26,5,0.243401156002383,0.0946996168973394
Se,3,4,16,8,27,5,0.839494000774689,0.26176242614933
Se,3,4,16,8,28,5,0.481362773560466,0.199829008913569
Se,3,4,16,8,29,5,0.696008659007627,0.153179464865757
Se,3,4,16,8,30,5,0.623992897546293,0.227006894578352
Se,3,4,16,8,31,5,1.21715572512392,0.449435421240792
Se,3,4,16,8,32,6,0.547962919317159,0.204818869268083
Se,3,4,16,8,33,6,0.613356384419287,0.12452619638106
Se,3,4,16,8,34,6,0.443177576473202,0.188090730176947
Se,3,4,16,8,35,6,0.638897711609153,0.19149530072882
Se,3,4,16,8,36,6,0.243401157956556,0.094699617174989
Se,3,4,16,8,37,6,0.770550947780362,0.265228318533837
Se,3,4,16,8,38,6,0.785241918060316,0.29715827509868
Se,3,4,16,8,39,6,0.638815665697449,0.209553764285033
Se,3,4,16,8,40,6,0.481362791687878,0.199829016360663
Se,3,4,16,8,41,6,0.532679568238103,0.139083145286635
Se,3,4,16,8,42,6,0.274026260120343,0.101314716653126
Se,3,4,16,8,43,6,0.737151693229606,0.271112305435852
Se,3,4,16,8,44,6,0.268106221592521,0.0888777917285097
Se,3,4,16,8,45,6,0.535645793956422,0.163758916827165
Se,3,4,16,8,46,6,0.221195055714406,0.071440481823625
Se,3,4,16,8,47,6,0.600226024913949,0.213952844893456
Se,3,4,16,8,48,6,0.172202306954787,0.0511535946059609
Se,3,4,16,8,49,6,0.487218254882508,0.141247435066606
Se,3,4,16,8,50,6,0.549634524689243,0.205612249599702
Se,3,4,16,8,51,6,0.450430898219118,0.125632753680469
Se,3,4,16,8,52,6,0.243401156002383,0.0946996168973394
Se,3,4,16,8,53,6,0.437686603805503,0.125581397874891
Se,3,4,16,8,54,6,0.333407143438236,0.125687275564496
Se,3,4,16,8,55,6,0.375260389493722,0.0610125627682358
Se,3,4,16,8,56,6,0.292176456092453,0.103380704750944
Se,3,4,16,8,57,6,0.422519552675979,0.134404530904638
Se,3,4,16,8,58,6,0.23013044322986,0.0846870026031533
Se,3,4,16,8,59,6,0.382854707403377,0.111441298958432
Se,3,4,16,8,60,6,0.499181211140899,0.194223065732873
Se,3,4,16,8,61,6,0.409139277378984,0.135049588105958
Se,3,4,16,8,62,6,0.156769606749733,0.0331162421837617
Se,3,4,16,8,63,6,0.425340239273002,0.144707745475952
Se,3,4,16,8,64,7,0.221195053096605,0.0714404803992323
Se,3,4,16,8,65,7,0.442276760581837,0.163921908116117
Se,3,4,16,8,66,7,0.284169347998419,0.109107661046544
Se,3,4,16,8,67,7,0.359022393462825,0.103466643713492
Se,3,4,16,8,68,7,0.172202308071758,0.0511535954180821
Se,3,4,16,8,69,7,0.429135231446289,0.158080484073735
Se,3,4,16,8,70,7,0.184214190697184,0.0532744365368238
Se,3,4,16,8,71,7,0.360692448672364,0.121627738813587
Se,3,4,16,8,72,7,0.193969356913269,0.0455355563798411
Se,3,4,16,8,73,7,0.43370960076499,0.153730447025682
Se,3,4,16,8,74,7,0.182233143710054,0.0521730621171311
Se,3,4,16,8,75,7,0.311227024206493,0.0822091200215323
Se,3,4,16,8,76,7,0.333407151278858,0.125687279094167
Se,3,4,16,8,77,7,0.297179296126879,0.0611300875003054
Se,3,4,16,8,78,7,0.248518501282517,0.0913737011432491
Se,3,4,16,8,79,7,0.308846054188525,0.0787002780309519
Se,3,4,16,8,80,7,0.292176450708679,0.103380702781333
Se,3,4,16,8,81,7,0.28480680505322,0.0648313698885478
Se,3,4,16,8,82,7,0.195855667753903,0.0654453517700505
Se,3,4,16,8,83,7,0.320880090764256,0.106704912590575
Se,3,4,16,8,84,7,0.163965493113753,0.0383384897067485
Se,3,4,16,8,85,7,0.338604393468809,0.11313862970834
Se,3,4,16,8,86,7,0.407582019313416,0.153143653136704
Se,3,4,16,8,87,7,0.332654637800858,0.112118777997343
Se,3,4,16,8,88,7,0.156769606540299,0.0331162421142458
Se,3,4,16,8,89,7,0.298332517879207,0.0979594616920601
Se,3,4,16,8,90,7,0.198355829394048,0.0675856373394423
Se,3,4,16,8,91,7,0.26647108570971,0.0688889572860356
Se,3,4,16,8,92,7,0.417000559075226,0.158326801173505
Se,3,4,16,8,93,7,0.300439104749951,0.0975038778632638
Se,3,4,16,8,94,7,0.158524730128913,0.0287585662288296
Se,3,4,16,8,95,7,0.306179246621693,0.106779634629062
Se,3,4,16,8,96,7,0.172202306954787,0.0511535946059609
Se,3,4,16,8,97,7,0.262322100046484,0.0713712417455981
Se,3,4,16,8,98,7,0.280595319923095,0.10035927629489
Se,3,4,16,8,99,7,0.265364991822994,0.0672809868427954
Se,3,4,16,8,100,7,0.193767437901382,0.0604658278079336
Se,3,4,16,8,101,7,0.246916792557068,0.0551092722421884
Se,3,4,16,8,102,7,0.240991626620974,0.089087430835237
Se,3,4,16,8,103,7,0.242331633622927,0.055537850589746
Se,3,4,16,8,104,7,0.182233145000867,0.0521730621321599
Se,3,4,16,8,105,7,0.337703310318671,0.118984958130002
Se,3,4,16,8,106,7,0.274810776008437,0.0957366287889533
Se,3,4,16,8,107,7,0.250372632434706,0.0721069506562601
Se,3,4,16,8,108,7,0.167233491069183,0.0456627078005711
Se,3,4,16,8,109,7,0.277825761795505,0.0927500359442051
Se,3,4,16,8,110,7,0.151995973394275,0.024627195847031
Se,3,4,16,8,111,7,0.255901028054026,0.0741816832328707
Se,3,4,16,8,112,7,0.193890183714796,0.0618553588687124
Se,3,4,16,8,113,7,0.297665111460351,0.104440352607119
Se,3,4,16,8,114,7,0.167734991816521,0.0470673967774035
Se,3,4,16,8,115,7,0.240875663240019,0.0721450262579725
Se,3,4,16,8,116,7,0.195855665806361,0.0654453516263367
Se,3,4,16,8,117,7,0.221503629539006,0.0418541795419717
Se,3,4,16,8,118,7,0.201884617307582,0.063141467957123
Se,3,4,16,8,119,7,0.24055347388855,0.0746091905844137
Se,3,4,16,8,120,7,0.163965493154693,0.0383384896673204
Se,3,4,16,8,121,7,0.247169152885168,0.0774975516158829
Se,3,4,16,8,122,7,0.17586064883433,0.0499361026038268
Se,3,4,16,8,123,7,0.217835006584079,0.0461036394977261
Se,3,4,16,8,124,7,0.21508822948103,0.0732093013909229
Se,3,4,16,8,125,7,0.223862189607299,0.0559534461302003
Se,3,4,16,8,126,7,0.182638646333628,0.0585558503893255
Se,3,4,16,8,127,7,0.219708006110114,0.0478487533771374
Se,3,4,16,8,128,8,0.237147008680824,0.0814755039172978
S,7,8,32,16,4,3,3.50254635744336,0.81079652690378
S,7,8,32,16,5,3,2.07824760611486,0.519930762065591
S,7,8,32,16,6,3,3.01934769338214,0.962368825323655
S,7,8,32,16,7,3,2.5154712328544,0.439515978382545
S,7,8,32,16,8,4,2.39243384614601,0.389578780922521
S,7,8,32,16,9,4,2.24218491885024,0.649476366243553
S,7,8,32,16,10,4,2.47404709403439,0.880612302481106
S,7,8,32,16,11,4,2.00927826946443,0.213545128180067
S,7,8,32,16,12,4,2.69196083371882,0.634354067647743
S,7,8,32,16,13,4,2.45186356996857,0.600110109209833
S,7,8,32,16,14,4,2.14594971036383,0.644428092884966
S,7,8,32,16,15,4,1.92608069376779,0.335956684167695
S,7,8,32,16,16,5,1.9394590611956,0.244060583454776
S,7,8,32,16,17,5,2.19227001800906,0.396264882253001
S,7,8,32,16,18,5,2.27637344373667,0.197882171879633
S,7,8,32,16,19,5,2.12174173966985,0.207072026608061
S,7,8,32,16,20,5,2.17025004442885,0.206711588962485
S,7,8,32,16,21,5,2.30946275486195,0.231698765950077
S,7,8,32,16,22,5,2.19615842745351,0.250927485454508
S,7,8,32,16,23,5,2.16007524769382,0.207189804460561
S,7,8,32,16,24,5,2.34899716376543,0.354702882134548
S,7,8,32,16,25,5,2.22128811484852,0.425541285712137
S,7,8,32,16,26,5,2.184643099742,0.264331731523166
S,7,8,32,16,27,5,2.14795486651759,0.348833098637292
S,7,8,32,16,28,5,2.34735048941456,0.456898062458568
S,7,8,32,16,29,5,2.35386305779713,0.339851638584618
S,7,8,32,16,30,5,2.26603886324457,0.386953662752064
S,7,8,32,16,31,5,2.30236782966928,0.369106339189117
S,7,8,32,16,32,6,2.33705790144786,0.460537000131814
S,7,8,32,16,33,6,1.8969872305346,0.184883841717837
S,7,8,32,16,34,6,2.24690872947294,0.312865017234295
S,7,8,32,16,35,6,2.40279445283191,0.400123843350023
S,7,8,32,16,36,6,2.21413618305359,0.335046059665292
S,7,8,32,16,37,6,2.18682546797966,0.182483049002089
S,7,8,32,16,38,6,2.35750221151223,0.335513254395077
S,7,8,32,16,39,6,2.28423197971686,0.329335697675506
S,7,8,32,16,40,6,2.31969604544206,0.276237728753749
S,7,8,32,16,41,6,2.12999663129136,0.169898672381115
S,7,8,32,16,42,6,2.1296566299654,0.180061468608235
S,7,8,32,16,43,6,2.28054161365418,0.329094799275796
S,7,8,32,16,44,6,2.05203099582366,0.186874657795363
S,7,8,32,16,45,6,2.17485111579669,0.276871206418621
S,7,8,32,16,46,6,2.28140130782858,0.34678188136195
S,7,8,32,16,47,6,2.21244857242012,0.289666178404633
S,7,8,32,16,48,6,2.14185603558942,0.188499290572033
S,7,8,32,16,49,6,2.26088307787284,0.278959377524495
S,7,8,32,16,50,6,2.07506218889004,0.179606359007013
S,7,8,32,16,51,6,2.22400682601929,0.334200350629701
S,7,8,32,16,52,6,2.24862614245801,0.264749247351193
S,7,8,32,16,53,6,2.09912662981329,0.173040797899258
S,7,8,32,16,54,6,2.21613678545989,0.29478438958444
S,7,8,32,16,55,6,2.30015781158071,0.34282951378523
S,7,8,32,16,56,6,2.17587972344504,0.176173673361555
S,7,8,32,16,57,6,2.26346502194239,0.27147819085976
S,7,8,32,16,58,6,2.1535745932053,0.196831102529009
S,7,8,32,16,59,6,2.10594684525202,0.194987795384861
S,7,8,32,16,60,6,2.16450194282713,0.166797796909504
S,7,8,32,16,61,6,2.13338483884045,0.162275637851772
S,7,8,32,16,62,6,2.17528469635665,0.305995857210965
S,7,8,32,16,63,6,2.19665395961986,0.246322210087695
S,7,8,32,16,64,7,2.08081951943702,0.176826559806843
